# Constructed from biom file
# OTU ID	SSU_rRNA	taxonomy	taxid
170777	5.0	sk__Eukaryota;k__;p__Ciliophora;c__Phyllopharyngea;o__Exogenida;f__Ephelotidae;g__Ephelota	163658
140216	1.0	sk__Eukaryota;k__;p__Ciliophora;c__Phyllopharyngea;o__Exogenida;f__Ephelotidae;g__Ephelota;s__Ephelota_mammillata	543857
78571	2.0	sk__Eukaryota;k__;p__Ciliophora;c__Phyllopharyngea;o__Exogenida;f__Ephelotidae;g__Ephelota;s__Ephelota_plana	1851737
49948	107.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea	33829
104462	38.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__;f__Strombidiidae	60004
196131	25.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__;f__Strombidiidae;g__Spirostrombidium	641210
66433	121.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__;f__Strombidiidae;g__Strombidium	60005
47927	3.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__;f__Strombidiidae;g__Strombidium;s__Strombidium_paracapitatum	1607870
181840	71.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__;f__Tontoniidae;g__Spirotontonia	641226
219718	60.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__Choreotrichida	200605
221259	3.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__Choreotrichida;f__Strobilidiidae	181619
44808	2.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Oxytrichidae	57506
5305	1.0	sk__Eukaryota;k__;p__Ciliophora;c__Spirotrichea;o__Sporadotrichida;f__Oxytrichidae;g__Hemigastrostyla	423614
128621	3.0	sk__Eukaryota;k__;p__Discosea;c__;o__Himatismenida	313555
20730	2.0	sk__Eukaryota;k__;p__Discosea;c__Flabellinia;o__;f__Vannellidae	95227
4580	1.0	sk__Eukaryota;k__;p__Endomyxa	2604748
159399	2.0	sk__Eukaryota;k__;p__Endomyxa;c__;o__;f__Gromiidae	35215
66607	1.0	sk__Eukaryota;k__;p__Endomyxa;c__;o__;f__Gromiidae;g__Gromia	35216
213757	1.0	sk__Eukaryota;k__;p__Endomyxa;c__;o__;f__Gromiidae;g__Gromia;s__Gromia_oviformis	35217
111780	3.0	sk__Eukaryota;k__;p__Endomyxa;c__;o__Plasmodiophorida	37357
33863	8.0	sk__Eukaryota;k__;p__Endomyxa;c__Ascetosporea;o__Haplosporida	31291
6411	3.0	sk__Eukaryota;k__;p__Endomyxa;c__Ascetosporea;o__Paradiniida;f__;g__Paradinium	492102
64396	1.0	sk__Eukaryota;k__;p__Euglenozoa;c__;o__Diplonemea;f__Diplonemidae	2603949
61142	1.0	sk__Eukaryota;k__;p__Euglenozoa;c__;o__Diplonemea;f__Diplonemidae;g__Diplonema	91373
108522	4.0	sk__Eukaryota;k__;p__Euglenozoa;c__;o__Petalomonadida	2570648
116085	1.0	sk__Eukaryota;k__;p__Euglenozoa;c__;o__Petalomonadida;f__Scytomonadidae	2570650
119299	92.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta	2830
48232	1.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Coccolithales	418917
74213	3.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Phaeocystales;f__Phaeocystaceae	418920
232841	18.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Phaeocystales;f__Phaeocystaceae;g__Phaeocystis	33656
61162	27.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Prymnesiales	73028
231174	2.0	sk__Eukaryota;k__;p__Haptista;c__Haptophyta;o__Prymnesiales;f__Chrysochromulinaceae	1136790
