superkingdom	kingdom	phylum	ERR3323784_MERGED_FASTQ	ERR3323783_MERGED_FASTQ	ERR3323782_MERGED_FASTQ	ERR3323781_MERGED_FASTQ	ERR3265102_MERGED_FASTQ	ERR3265101_MERGED_FASTQ	ERR3265100_MERGED_FASTQ	ERR3265099_MERGED_FASTQ	ERR3265098_MERGED_FASTQ	ERR3265097_MERGED_FASTQ	ERR3265096_MERGED_FASTQ	ERR3265094_MERGED_FASTQ	ERR3265093_MERGED_FASTQ	ERR3265092_MERGED_FASTQ	ERR3265091_MERGED_FASTQ	ERR3265090_MERGED_FASTQ	ERR3265089_MERGED_FASTQ	ERR3265088_MERGED_FASTQ	ERR3265087_MERGED_FASTQ	ERR3265086_MERGED_FASTQ	ERR3265085_MERGED_FASTQ	ERR3265084_MERGED_FASTQ	ERR3265083_MERGED_FASTQ	ERR3265082_MERGED_FASTQ	ERR3265081_MERGED_FASTQ	ERR3265080_MERGED_FASTQ	ERR3265079_MERGED_FASTQ	ERR3265078_MERGED_FASTQ	ERR3265077_MERGED_FASTQ	ERR3265076_MERGED_FASTQ	ERR3265075_MERGED_FASTQ	ERR3265074_MERGED_FASTQ	ERR3265073_MERGED_FASTQ	ERR3265072_MERGED_FASTQ	ERR3265071_MERGED_FASTQ	ERR3265070_MERGED_FASTQ	ERR3265069_MERGED_FASTQ	ERR3265068_MERGED_FASTQ	ERR3265067_MERGED_FASTQ	ERR3265066_MERGED_FASTQ	ERR3265065_MERGED_FASTQ	ERR3265064_MERGED_FASTQ	ERR3265063_MERGED_FASTQ
Bacteria	Unassigned	Candidatus_Liptonbacteria	3	4	9	0	0	0	0	0	0	0	0	4	0	11	1	2	0	5	6	0	2	6	14	2	6	2	2	0	4	1	0	4	6	2	2	1	1	0	0	17	0	0	1
Bacteria	Unassigned	Candidatus_Lloydbacteria	0	1	2	0	0	0	0	0	0	0	0	3	0	0	0	0	2	2	0	0	0	0	2	0	6	2	0	0	0	1	1	1	0	6	2	2	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Magasanikbacteria	1	16	5	0	0	0	0	0	0	0	0	1	1	2	2	1	1	2	1	2	5	3	32	2	13	1	7	2	5	3	17	6	10	7	11	4	0	4	9	7	2	0	0
Bacteria	Unassigned	Candidatus_Margulisbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Melainabacteria	1	3	4	1	0	0	0	0	0	0	0	4	1	0	3	0	2	1	0	4	3	3	6	2	3	0	2	6	3	3	9	3	2	8	8	1	0	2	2	2	0	0	1
Bacteria	Unassigned	Candidatus_Microgenomates	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Moranbacteria	1	2	6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	1	1	1	0	0	2	2	3	0	2	0	1	0	1	1	0	0	1
Bacteria	Unassigned	Candidatus_Nomurabacteria	11	11	18	5	0	0	0	0	0	0	0	9	1	1	3	1	6	8	3	4	0	8	16	3	9	3	4	9	8	4	15	5	19	23	17	9	1	7	2	27	3	0	1
Bacteria	Unassigned	Candidatus_Omnitrophica	1	7	7	0	0	0	0	0	0	0	0	4	2	4	1	1	0	5	0	0	1	1	9	4	4	1	12	8	14	2	13	2	4	2	4	1	1	1	2	4	2	1	0
Bacteria	Unassigned	Candidatus_Pacebacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Parcubacteria	6	0	1	2	0	0	0	0	0	0	0	4	0	0	1	0	0	0	1	0	0	0	2	4	2	1	0	0	0	0	0	5	4	1	1	2	0	1	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Peregrinibacteria	6	2	2	1	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	2	1	3	2	0	8	0	6	0	1	2	4	2	2	0	6	1	0	1	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Raymondbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Rokubacteria	4	96	357	23	0	0	0	0	0	0	0	11	0	44	8	10	3	11	0	6	1	52	137	3	21	14	6	10	84	35	25	11	159	47	4	85	2	16	8	92	12	23	1
Bacteria	Unassigned	Candidatus_Saccharibacteria	326	108	68	48	0	0	0	0	0	0	0	65	88	62	295	24	89	58	102	21	61	57	184	62	85	36	121	114	73	38	230	183	91	173	1042	62	67	34	125	55	62	38	66
Bacteria	Unassigned	Candidatus_Staskawiczbacteria	1	2	2	0	0	0	0	0	0	0	0	1	0	1	4	0	0	2	2	0	0	2	1	2	3	0	1	0	0	2	1	1	3	1	2	1	0	0	1	1	0	0	0
Bacteria	Unassigned	Candidatus_Tectomicrobia	0	3	10	1	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	2	0	1	3	1	3	1	1	1	3	1	3	3	7	1	0	3	0	0	0	1	0	3	0
Bacteria	Unassigned	Candidatus_Uhrbacteria	3	2	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	6	1	0	4	1	1	1	2	0	3	1	0	0	2	0	3	1	2	0	0	0
Bacteria	Unassigned	Candidatus_Veblenbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria	Unassigned	Candidatus_Vogelbacteria	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Woesebacteria	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	1	0
Bacteria	Unassigned	Candidatus_Wolfebacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Woykebacteria	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Yanofskybacteria	6	6	17	2	0	0	0	0	0	0	0	30	8	11	7	7	2	15	8	5	2	3	123	8	40	1	11	15	26	3	28	16	7	18	30	6	25	2	8	22	12	4	1
Bacteria	Unassigned	Candidatus_Yonathbacteria	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	2	2	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Zambryskibacteria	5	3	1	0	0	0	0	0	0	0	0	8	4	2	38	4	6	3	8	3	3	3	9	3	1	4	6	9	7	0	10	10	6	7	12	4	3	4	2	4	4	1	1
Bacteria	Unassigned	Chlamydiae	58	75	65	22	0	0	0	0	0	0	0	43	24	14	65	8	61	28	48	18	24	30	147	16	34	34	39	27	47	25	68	59	66	78	212	37	42	28	49	85	38	19	17
Bacteria	Unassigned	Chloroflexi	2505	2771	3264	697	0	0	0	0	0	0	0	2017	869	800	4606	835	1484	1243	884	780	1225	952	3568	785	2165	851	1468	1730	1812	1320	4085	2387	2577	4008	4396	1682	1136	1059	1862	2355	1243	1313	899
Bacteria	Unassigned	Cyanobacteria	70	106	70	32	0	0	0	0	0	0	0	83	52	14	54	42	138	61	47	62	138	22	57	56	149	24	117	63	56	42	279	139	110	315	225	46	14	99	94	103	44	140	68
Bacteria	Unassigned	Deinococcus-Thermus	1	8	5	0	0	0	0	0	0	0	0	0	1	3	1	0	3	0	2	1	1	3	19	0	3	4	6	2	23	5	5	7	28	2	2	0	0	0	1	0	0	0	1
Bacteria	Unassigned	Elusimicrobia	139	179	225	28	0	0	0	0	0	0	0	158	59	101	225	68	102	160	108	49	106	100	490	123	192	113	168	172	181	97	403	228	197	274	391	182	93	59	183	256	117	40	73
Bacteria	Unassigned	Fibrobacteres	85	24	23	6	0	0	0	0	0	0	0	46	22	18	63	7	425	32	38	11	46	44	37	7	9	26	29	18	9	11	46	28	33	121	95	38	6	22	23	27	7	18	15
Bacteria	Unassigned	Firmicutes	313	573	561	209	2	0	1	1	4	1	4	271	183	76	563	141	255	117	172	167	199	57	577	148	376	108	230	268	169	242	916	698	686	852	1067	215	206	291	348	235	170	501	293
Bacteria	Unassigned	Fusobacteria	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	2	1	0	1	0	1	3	2	2	2	1	0	1	0	0	0	4	1	1
Bacteria	Unassigned	Gemmatimonadetes	2968	2601	3792	699	0	0	0	0	0	0	0	5434	2301	1387	5909	1757	4441	1784	1544	2086	2779	1480	4576	2847	4967	949	4520	4058	2455	2013	9229	5780	2857	8674	7201	2273	1542	1815	4066	2554	1630	1639	1677
