superkingdom	kingdom	phylum	SRR13978093_MERGED_FASTQ	SRR13978086_MERGED_FASTQ	SRR13978082_MERGED_FASTQ	SRR13978075_MERGED_FASTQ	SRR13978074_MERGED_FASTQ	SRR13978094_MERGED_FASTQ	SRR13978085_MERGED_FASTQ	SRR13978084_MERGED_FASTQ	SRR13978081_MERGED_FASTQ	SRR13978079_MERGED_FASTQ	SRR13978078_MERGED_FASTQ	SRR13978077_MERGED_FASTQ	SRR13978092_MERGED_FASTQ	SRR13978087_MERGED_FASTQ	SRR13978073_MERGED_FASTQ	SRR13978091_MERGED_FASTQ	SRR13978089_MERGED_FASTQ	SRR13978088_MERGED_FASTQ	SRR13978076_MERGED_FASTQ	SRR13978090_MERGED_FASTQ	SRR13978083_MERGED_FASTQ	SRR13978080_MERGED_FASTQ	SRR13978072_MERGED_FASTQ
Bacteria	Unassigned	Fibrobacteres	124	1435	2827	1457	1250	154	354	389	2541	206	116	196	812	817	1057	446	408	618	1564	754	344	142	258
Bacteria	Unassigned	Firmicutes	73438	31515	31886	37163	41621	201580	80636	123396	28354	68577	112637	222634	105342	84418	150317	72923	56071	32177	55065	117315	38178	112203	103100
Bacteria	Unassigned	Fusobacteria	28	48	80	12	6	12	4	6	57	19	2	3	10	3	10	2	5	14	1	2	10	27	13
Bacteria	Unassigned	Gemmatimonadetes	7221	40781	54283	40183	43016	14375	7000	7010	45607	10674	8134	12264	6887	6918	7989	4818	3669	4444	7010	5881	4586	7864	7330
Bacteria	Unassigned	Ignavibacteriae	279	1634	1643	769	925	578	295	404	1363	2413	1625	533	260	207	164	282	242	355	242	511	251	409	260
Bacteria	Unassigned	Kiritimatiellaeota	0	28	83	30	7	0	16	13	76	0	0	0	9	15	9	2	6	0	24	1	11	0	1
Bacteria	Unassigned	Lentisphaerae	3	0	0	0	0	4	1	28	1	0	1	2	15	4	0	9	4	7	3	17	16	0	0
Bacteria	Unassigned	Nitrospinae	0	0	0	9	21	0	0	0	9	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Bacteria	Unassigned	Nitrospirae	1898	8364	9318	7824	9872	3154	5382	9867	7547	1046	1642	2791	6706	5204	421	5758	3614	4882	117	6827	4305	3083	3048
Bacteria	Unassigned	Planctomycetes	12205	40795	66099	34650	30604	16316	19886	19939	48177	22745	10912	14052	20850	18569	10409	12521	12391	11713	13571	20736	13307	12715	12589
Bacteria	Unassigned	Proteobacteria	64349	262866	302134	175894	178628	95666	100519	98886	237102	89498	62108	101428	108482	106195	85052	57430	71306	63517	62490	85699	68840	75891	80454
Bacteria	Unassigned	Rhodothermaeota	20	0	8	0	0	1	12	3	9	48	6	3	2	0	6	0	0	0	47	0	1	3	10
Bacteria	Unassigned	Spirochaetes	24	48	51	37	43	22	87	114	81	79	49	31	92	83	102	28	29	32	404	31	73	11	32
Bacteria	Unassigned	Synergistetes	1	0	2	4	3	3	2	7	4	13	1	4	11	1	30	2	6	0	2	4	1	0	3
Bacteria	Unassigned	Tenericutes	25	23	4	16	6	52	45	46	2	60	18	64	52	53	76	25	22	32	36	40	10	15	27
Bacteria	Unassigned	Thermodesulfobacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Bacteria	Unassigned	Thermotogae	0	0	0	2	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Unassigned	4876	17190	19156	16361	18489	5061	4374	6356	18809	4897	6038	5167	4662	4423	3515	4094	4163	3590	3900	4655	3652	4534	3982
Bacteria	Unassigned	Verrucomicrobia	4762	13763	19238	11090	11230	4677	3661	3812	16040	4225	3715	3828	4136	3428	2372	2104	4549	2405	1812	3250	2865	4691	3142
