superkingdom	kingdom	phylum	ERR5378024_MERGED_FASTQ	ERR5378045_MERGED_FASTQ	ERR5378042_MERGED_FASTQ	ERR5378038_MERGED_FASTQ	ERR5378034_MERGED_FASTQ	ERR5378025_MERGED_FASTQ	ERR5378052_MERGED_FASTQ	ERR5378050_MERGED_FASTQ	ERR5378049_MERGED_FASTQ	ERR5378046_MERGED_FASTQ	ERR5378044_MERGED_FASTQ	ERR5378041_MERGED_FASTQ	ERR5378040_MERGED_FASTQ	ERR5378039_MERGED_FASTQ	ERR5378037_MERGED_FASTQ	ERR5378036_MERGED_FASTQ	ERR5378033_MERGED_FASTQ	ERR5378028_MERGED_FASTQ	ERR5378023_MERGED_FASTQ	ERR5378022_MERGED_FASTQ	ERR5378053_MERGED_FASTQ	ERR5378051_MERGED_FASTQ	ERR5378048_MERGED_FASTQ	ERR5378047_MERGED_FASTQ	ERR5378043_MERGED_FASTQ	ERR5378035_MERGED_FASTQ	ERR5378032_MERGED_FASTQ	ERR5378031_MERGED_FASTQ	ERR5378030_MERGED_FASTQ	ERR5378029_MERGED_FASTQ	ERR5378027_MERGED_FASTQ	ERR5378026_MERGED_FASTQ	ERR5378021_MERGED_FASTQ	ERR5378020_MERGED_FASTQ	ERZ2610364_FASTA	ERZ2610361_FASTA	ERZ2610360_FASTA	ERZ2610341_FASTA	ERZ2610340_FASTA	ERZ2610338_FASTA	ERZ2610336_FASTA	ERZ2610353_FASTA	ERZ2610365_FASTA	ERZ2610357_FASTA	ERZ2610356_FASTA	ERZ2610352_FASTA	ERZ2610349_FASTA	ERZ2610348_FASTA	ERZ2610345_FASTA	ERZ2610344_FASTA	ERZ2610367_FASTA	ERZ2610366_FASTA	ERZ2610363_FASTA	ERZ2610362_FASTA	ERZ2610358_FASTA	ERZ2610339_FASTA	ERZ2610359_FASTA	ERZ2610355_FASTA	ERZ2610354_FASTA	ERZ2610350_FASTA	ERZ2610347_FASTA	ERZ2610346_FASTA	ERZ2610343_FASTA	ERZ2610342_FASTA
Bacteria	Unassigned	Balneolaeota	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Caldiserica	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Calditrichaeota	167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Abawacabacteria	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Adlerbacteria	55	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	106	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Amesbacteria	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Atribacteria	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Azambacteria	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Beckwithbacteria	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria	Unassigned	Candidatus_Berkelbacteria	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
